SN,Pers_id,pay2_2,pay2_3a,pay2_3aOther,pay2_3b__0,pay2_4,pay2_5,pay2_6
4600,Parent,Rural village, , ,Mara,Only once off/Once a year,Through mobile phone using the same network,Household use (food/clothing)
8567,Parent,Rural village, , ,Mara,Weekly,Through mobile phone using the same network,Household use (food/clothing)
7178,Other family member,Rural village, , ,Mara,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8826,Spouse,Rural village, , ,Mara,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
5703,Spouse,Rural village, , ,Mara,Only once off/Once a year,Through mobile phone using the same network,Household use (food/clothing)
4631,Other family member,Urban community, , ,Mara,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
4636,Parent,Rural village, , ,Mara,Fortnightly,Through mobile phone using the same network,Household use (food/clothing)
8859,Parent,Rural village, , ,Mara,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
3111,Child,Urban community, , ,Mara,When you can,Through mobile phone using the same network,Household use (food/clothing)
4661,Child,Urban community, , ,Mara,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
7721,Parent,Rural village, , ,Mara,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8913,Parent,Rural village, , ,Mara,Monthly,Through mobile phone using the same network,Household use (food/clothing)
735,Parent,Rural village, , ,Mara,Seasonally,Through mobile phone using the same network,Household use (food/clothing)
4679,Parent,Urban community, , ,Mara,When you can,Through mobile phone using the same network,Household use (food/clothing)
9078,Parent,Rural village, , ,Mara,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
4192,Friend,Urban community, , ,Mara,Seasonally,Through mobile phone using the same network,Household use (food/clothing)
8926,Parent,Rural village, , ,Mara,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
4695,Parent,Rural village, , ,Mara,Monthly,Through mobile phone using the same network,Household use (food/clothing)
8933,Parent,Rural village, , ,Mara,When you can,Through mobile phone using the same network,Household use (food/clothing)
8934,Parent,Rural village, , ,Mara,Only once off/Once a year,Through mobile phone using the same network,Household use (food/clothing)
5328,Child,Rural village, , ,Mara,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
4511,Child,Urban community, , ,Mara,Monthly,Through mobile phone using the same network,Household use (food/clothing)
8976,Parent,Rural village, , ,Mara,When you can,Through mobile phone using the same network,Household use (food/clothing)
8983,Other family member,Rural village, , ,Mara,When you can,Through mobile phone using the same network,Household use (food/clothing)
9351,Child,Urban community, , ,Mara,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
9099,Child,Urban community, , ,Mara,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
6928,Child,Rural village, , ,Mara,When you can,Through mobile phone using the same network,Household use (food/clothing)
3263,Other family member,Urban community, , ,Mara,Only once off/Once a year,Through mobile phone using the same network,Household use (food/clothing)
7546,Parent,Rural village, , ,Mara,When they ask you to/in an emergency,Bank transfer/Pay into bank account,Household use (food/clothing)
7737,Parent,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through Agent,Household use (food/clothing)
8584,Spouse,Rural village, , ,Mwanza,Fortnightly,Friends or family takes it there,Household use (food/clothing)
4476,Spouse,Rural village, , ,Mwanza,Several times a year,Friends or family takes it there,Household use (food/clothing)
8420,Child,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
4537,Parent,Urban community, , ,Mwanza,Several times a year,Through mobile phone: different network,Household use (food/clothing)
5208,Other family member,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
7427,Friend,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
8524,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
4547,Friend,Urban community, , ,Mwanza,Only once off/Once a year,Through mobile phone: different network,Household use (food/clothing)
8527,Parent,Rural village, , ,Mwanza,When you can,Through mobile phone: different network,Household use (food/clothing)
2983,Child,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
4303,Parent,Urban community, , ,Mwanza,Fortnightly,Through mobile phone: different network,Household use (food/clothing)
9380,Child,Urban community, , ,Mwanza,Fortnightly,Through mobile phone: different network,Household use (food/clothing)
8771,Parent,Urban community, , ,Mwanza,Seasonally,Through mobile phone: different network,Household use (food/clothing)
4317,Parent,Urban community, , ,Mwanza,Seasonally,Through mobile phone: different network,Household use (food/clothing)
4032,Child,Urban community, , ,Mwanza,Only once off/Once a year,Through mobile phone: different network,Household use (food/clothing)
4321,Other family member,Urban community, , ,Mwanza,Several times a year,Through mobile phone: different network,Household use (food/clothing)
167,Other family member,Rural village, , ,Mwanza,Only once off/Once a year,Through mobile phone: different network,Household use (food/clothing)
3842,Other family member,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
8556,Parent,Urban community, , ,Mwanza,When you can,Through mobile phone: different network,Household use (food/clothing)
3552,Friend,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
3857,Parent,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
7582,Other family member,Rural village, , ,Mwanza,When you can,Through mobile phone: different network,Household use (food/clothing)
9415,Other family member,Rural village, , ,Mwanza,Only once off/Once a year,Through mobile phone: different network,Household use (food/clothing)
4881,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
8830,Spouse,Urban community, , ,Mwanza,When you can,Through mobile phone: different network,Household use (food/clothing)
4623,Other family member,Rural village, , ,Mwanza,Monthly,Through mobile phone: different network,Household use (food/clothing)
7627,Parent,Rural village, , ,Mwanza,When you can,Through mobile phone: different network,Household use (food/clothing)
9324,Child,Urban community, , ,Mwanza,When you can,Through mobile phone: different network,Household use (food/clothing)
4397,Parent,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
7347,Friend,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
4639,Other family member,Urban community, , ,Mwanza,Only once off/Once a year,Through mobile phone: different network,Household use (food/clothing)
7644,Other family member,Rural village, , ,Mwanza,Several times a year,Through mobile phone: different network,Household use (food/clothing)
8886,Parent,Urban community, , ,Mwanza,When you can,Through mobile phone: different network,Household use (food/clothing)
8886,Friend,Urban community, , ,Mwanza,Monthly,Through mobile phone: different network,Household use (food/clothing)
9062,Child,Urban community, , ,Mwanza,Only once off/Once a year,Through mobile phone: different network,Household use (food/clothing)
4439,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
6885,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
4175,Parent,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
8913,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
3945,Other family member,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
2698,Other family member,Urban community, , ,Mwanza,When you can,Through mobile phone: different network,Household use (food/clothing)
5549,Other family member,Urban community, , ,Mwanza,Monthly,Through mobile phone: different network,Household use (food/clothing)
8959,Parent,Rural village, , ,Mwanza,Only once off/Once a year,Through mobile phone: different network,Household use (food/clothing)
7845,Child,Urban community, , ,Mwanza,Fortnightly,Through mobile phone: different network,Household use (food/clothing)
9090,Parent,Urban community, , ,Mwanza,Several times a year,Through mobile phone: different network,Household use (food/clothing)
5801,Other family member,Urban community, , ,Mwanza,Seasonally,Through mobile phone: different network,Household use (food/clothing)
9097,Friend,Urban community, , ,Mwanza,Only once off/Once a year,Through mobile phone: different network,Household use (food/clothing)
9489,Other family member,Urban community, , ,Mwanza,Seasonally,Through mobile phone using the same network,Household use (food/clothing)
9221,Child,Urban community, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
8722,Other family member,Urban community, , ,Mwanza,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
8724,Parent,Rural village, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
9358,Child,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
4543,Parent,Rural village, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
4544,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
5374,Other family member,Urban community, , ,Mwanza,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
9165,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
9165,Parent,Urban community, , ,Mwanza,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
8736,Spouse,Rural village, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
5213,Parent,Urban community, , ,Mwanza,Monthly,Through mobile phone using the same network,Household use (food/clothing)
600,Child,Urban community, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
4294,Other family member,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8750,Parent,Rural village, , ,Mwanza,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
8751,Child,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8758,Other family member,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8296,Parent,Urban community, , ,Mwanza,Fortnightly,Through mobile phone using the same network,Household use (food/clothing)
9384,Parent,Urban community, , ,Mwanza,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
4311,Child,Urban community, , ,Mwanza,Seasonally,Through mobile phone using the same network,Household use (food/clothing)
9385,Other family member,Urban community, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
2768,Child,Urban community, , ,Mwanza,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
5650,Parent,Rural village, , ,Mwanza,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
3011,Parent,Rural village, , ,Mwanza,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
45,Child,Rural village, , ,Mwanza,Weekly,Through mobile phone using the same network,Household use (food/clothing)
4333,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
5098,Spouse,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
5244,Other family member,Rural village, , ,Mwanza,Only once off/Once a year,Through mobile phone using the same network,Household use (food/clothing)
9400,Spouse,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8805,Other family member,Rural village, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
8806,Other family member,Rural village, , ,Mwanza,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
8807,Parent,Urban community, , ,Mwanza,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
9409,Spouse,Urban community, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
4359,Parent,Rural village, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
1267,Parent,Rural village, , ,Mwanza,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
5262,Friend,Urban community, , ,Mwanza,Only once off/Once a year,Through mobile phone using the same network,Household use (food/clothing)
5683,Parent,Rural village, , ,Mwanza,Only once off/Once a year,Through mobile phone using the same network,Household use (food/clothing)
9044,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8312,Child,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
3576,Parent,Rural village, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
7179,Other family member,Rural village, , ,Mwanza,Monthly,Through mobile phone using the same network,Household use (food/clothing)
8570,Parent,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
4382,Friend,Urban community, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
5453,Parent,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8843,Parent,Urban community, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
4395,Parent,Urban community, , ,Mwanza,Seasonally,Through mobile phone using the same network,Household use (food/clothing)
4400,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
4404,Child,Urban community, , ,Mwanza,Seasonally,Through mobile phone using the same network,Household use (food/clothing)
8861,Parent,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
6961,Parent,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8862,Child,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
7667,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
7677,Parent,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8873,Other family member,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8875,Parent,Urban community, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
4409,Parent,Urban community, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
8876,Other family member,Urban community, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
4656,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
5731,Parent,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
4427,Parent,Rural village, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
8888,Parent,Urban community, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
4151,Other family member,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
3639,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
4435,Parent,Urban community, , ,Mwanza,Only once off/Once a year,Through mobile phone using the same network,Household use (food/clothing)
8901,Parent,Rural village, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
8902,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8903,Spouse,Urban community, , ,Mwanza,Seasonally,Through mobile phone using the same network,Household use (food/clothing)
8907,Friend,Urban community, , ,Mwanza,Seasonally,Through mobile phone using the same network,Household use (food/clothing)
4673,Parent,Rural village, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
3162,Other family member,Urban community, , ,Mwanza,Monthly,Through mobile phone using the same network,Household use (food/clothing)
8916,Parent,Urban community, , ,Mwanza,Monthly,Through mobile phone using the same network,Household use (food/clothing)
8917,Parent,Rural village, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
4457,Spouse,Urban community, , ,Mwanza,Only once off/Once a year,Through mobile phone using the same network,Household use (food/clothing)
9133,Other family member,Urban community, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
4459,Other family member,Urban community, , ,Mwanza,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
5764,Other family member,Urban community, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
8924,Parent,Urban community, , ,Mwanza,Weekly,Through mobile phone using the same network,Household use (food/clothing)
3934,Child,Urban community, , ,Mwanza,Only once off/Once a year,Through mobile phone using the same network,Household use (food/clothing)
8618,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
9596,Parent,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
2688,Parent,Rural village, , ,Mwanza,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
4480,Friend,Urban community, , ,Mwanza,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
4481,Friend,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
4997,Someone I borrowed money from,Urban community, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
4483,Parent,Rural village, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
6770,Other family member,Urban community, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
8951,Parent,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8955,Child,Rural village, , ,Mwanza,Only once off/Once a year,Through mobile phone using the same network,Household use (food/clothing)
8639,Spouse,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8958,Friend,Rural village, , ,Mwanza,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
8963,Other family member,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8968,Parent,Rural village, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
4734,Spouse,Urban community, , ,Mwanza,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
8982,Parent,Urban community, , ,Mwanza,When you can,Through mobile phone using the same network,Household use (food/clothing)
4525,Other family member,Urban community, , ,Mwanza,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
8648,Parent,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
3974,Spouse,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
7479,Other family member,Urban community, , ,Mwanza,Several times a year,Bank transfer/Pay into bank account,Household use (food/clothing)
6664,Parent,Rural village, , ,Kagera,Monthly,Through mobile phone: different network,Household use (food/clothing)
4045,Other family member,Urban community, , ,Kagera,Several times a year,Through mobile phone: different network,Household use (food/clothing)
6179,Parent,Rural village, , ,Kagera,When you can,Through mobile phone: different network,Household use (food/clothing)
3846,Parent,Rural village, , ,Kagera,Several times a year,Through mobile phone: different network,Household use (food/clothing)
4071,Spouse,Rural village, , ,Kagera,Several times a year,Through mobile phone: different network,Household use (food/clothing)
8573,Parent,Rural village, , ,Kagera,Several times a year,Through mobile phone: different network,Household use (food/clothing)
8670,Parent,Rural village, , ,Kagera,Seasonally,Through mobile phone: different network,Household use (food/clothing)
4109,Other family member,Urban community, , ,Kagera,When you can,Through mobile phone: different network,Household use (food/clothing)
4109,Parent,Rural village, , ,Kagera,Several times a year,Through mobile phone: different network,Household use (food/clothing)
6050,Child,Rural village, , ,Kagera,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
4126,Other family member,Urban community, , ,Kagera,Several times a year,Through mobile phone: different network,Household use (food/clothing)
4135,Spouse,Urban community, , ,Kagera,Seasonally,Through mobile phone: different network,Household use (food/clothing)
4141,Other family member,Rural village, , ,Kagera,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
9444,Parent,Rural village, , ,Kagera,When you can,Through mobile phone: different network,Household use (food/clothing)
8680,Other family member,Rural village, , ,Kagera,Several times a year,Through mobile phone: different network,Household use (food/clothing)
4154,Other family member,Urban community, , ,Kagera,Seasonally,Through mobile phone: different network,Household use (food/clothing)
9069,Parent,Rural village, , ,Kagera,When you can,Through mobile phone: different network,Household use (food/clothing)
8695,Parent,Rural village, , ,Kagera,Monthly,Through mobile phone: different network,Household use (food/clothing)
9467,Parent,Rural village, , ,Kagera,When you can,Through mobile phone: different network,Household use (food/clothing)
8701,Other family member,Rural village, , ,Kagera,Only once off/Once a year,Through mobile phone: different network,Household use (food/clothing)
4239,Child,Urban community, , ,Kagera,Several times a year,Through mobile phone: different network,Household use (food/clothing)
9292,Parent,Rural village, , ,Kagera,Monthly,Through mobile phone: different network,Household use (food/clothing)
7879,Parent,Rural village, , ,Kagera,When you can,Through mobile phone: different network,Household use (food/clothing)
8713,Parent,Rural village, , ,Kagera,Only once off/Once a year,Through mobile phone: different network,Household use (food/clothing)
3980,Parent,Rural village, , ,Kagera,When you can,Through mobile phone using the same network,Household use (food/clothing)
3985,Other family member,Rural village, , ,Kagera,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
5629,Parent,Rural village, , ,Kagera,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8774,Parent,Rural village, , ,Kagera,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
4042,Other family member,Urban community, , ,Kagera,Weekly,Through mobile phone using the same network,Household use (food/clothing)
8449,Spouse,Rural village, , ,Kagera,Seasonally,Through mobile phone using the same network,Household use (food/clothing)
7591,Parent,Rural village, , ,Kagera,Monthly,Through mobile phone using the same network,Household use (food/clothing)
8666,Parent,Rural village, , ,Kagera,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8313,Spouse,Urban community, , ,Kagera,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
2821,Parent,Rural village, , ,Kagera,When you can,Through mobile phone using the same network,Household use (food/clothing)
8838,Other family member,Urban community, , ,Kagera,When you can,Through mobile phone using the same network,Household use (food/clothing)
8846,Parent,Urban community, , ,Kagera,Monthly,Through mobile phone using the same network,Household use (food/clothing)
4125,Other family member,Urban community, , ,Kagera,Seasonally,Through mobile phone using the same network,Household use (food/clothing)
8587,Friend,Rural village, , ,Kagera,Monthly,Through mobile phone using the same network,Household use (food/clothing)
8587,Parent,Rural village, , ,Kagera,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
4137,Other family member,Rural village, , ,Kagera,Only once off/Once a year,Through mobile phone using the same network,Household use (food/clothing)
4144,Parent,Rural village, , ,Kagera,When you can,Through mobile phone using the same network,Household use (food/clothing)
4146,Other family member,Rural village, , ,Kagera,When you can,Through mobile phone using the same network,Household use (food/clothing)
8884,Other family member,Rural village, , ,Kagera,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8598,Parent,Rural village, , ,Kagera,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
8904,Other family member,Rural village, , ,Kagera,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
8685,Child,Rural village, , ,Kagera,Monthly,Through mobile phone using the same network,Household use (food/clothing)
3187,Child,Rural village, , ,Kagera,When you can,Through mobile phone using the same network,Household use (food/clothing)
4201,Other family member,Rural village, , ,Kagera,When you can,Through mobile phone using the same network,Household use (food/clothing)
3725,Parent,Rural village, , ,Kagera,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8698,Parent,Urban community, , ,Kagera,Weekly,Through mobile phone using the same network,Household use (food/clothing)
9475,Parent,Rural village, , ,Kagera,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
4714,Other family member,Rural village, , ,Kagera,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
8699,Spouse,Urban community, , ,Kagera,Seasonally,Through mobile phone using the same network,Household use (food/clothing)
9478,Parent,Rural village, , ,Kagera,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
8705,Other family member,Rural village, , ,Kagera,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
8705,Parent,Rural village, , ,Kagera,Several times a year,Through mobile phone using the same network,Household use (food/clothing)
8323,Child,Urban community, , ,Shinyanga,When you can,Through Agent,Household use (food/clothing)
5278,Child,Rural village, , ,Shinyanga,When they ask you to/in an emergency,Through Agent,Household use (food/clothing)
5245,Child,Rural village, , ,Shinyanga,When they ask you to/in an emergency,Through Agent,Household use (food/clothing)
5761,Spouse,Urban community, , ,Shinyanga,When they ask you to/in an emergency,Through Agent,Household use (food/clothing)
3245,Parent,Urban community, , ,Shinyanga,When they ask you to/in an emergency,Friends or family takes it there,Household use (food/clothing)
8998,Child,Urban community, , ,Shinyanga,Monthly,Through mobile phone: different network,Household use (food/clothing)
7419,Friend,Urban community, , ,Shinyanga,Several times a year,Through mobile phone: different network,Household use (food/clothing)
5368,Other family member,Urban community, , ,Shinyanga,When you can,Through mobile phone: different network,Household use (food/clothing)
8291,Other family member,Urban community, , ,Shinyanga,Only once off/Once a year,Through mobile phone: different network,Household use (food/clothing)
6154,Parent,Rural village, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
3811,Parent,Rural village, , ,Shinyanga,Monthly,Through mobile phone: different network,Household use (food/clothing)
4302,Other family member,Rural village, , ,Shinyanga,Seasonally,Through mobile phone: different network,Household use (food/clothing)
2994,Other family member,Urban community, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
8569,Parent,Rural village, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
14,Other family member,Urban community, , ,Shinyanga,Seasonally,Through mobile phone: different network,Household use (food/clothing)
14,Parent,Urban community, , ,Shinyanga,When you can,Through mobile phone: different network,Household use (food/clothing)
8847,Parent,Rural village, , ,Shinyanga,Monthly,Through mobile phone: different network,Household use (food/clothing)
7641,Friend,Urban community, , ,Shinyanga,When you can,Through mobile phone: different network,Household use (food/clothing)
5280,Other family member,Rural village, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
3107,Other family member,Urban community, , ,Shinyanga,When you can,Through mobile phone: different network,Household use (food/clothing)
3885,Other family member,Rural village, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
3885,Parent,Rural village, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
3113,Other family member,Urban community, , ,Shinyanga,Seasonally,Through mobile phone: different network,Household use (food/clothing)
4419,Parent,Rural village, , ,Shinyanga,When you can,Through mobile phone: different network,Household use (food/clothing)
3895,Parent,Rural village, , ,Shinyanga,Seasonally,Through mobile phone: different network,Household use (food/clothing)
5510,Other family member,Urban community, , ,Shinyanga,Only once off/Once a year,Through mobile phone: different network,Household use (food/clothing)
3916,Spouse,Rural village, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone: different network,Household use (food/clothing)
3921,Child,Rural village, , ,Shinyanga,Only once off/Once a year,Through mobile phone: different network,Household use (food/clothing)
8611,Parent,Rural village, , ,Shinyanga,Several times a year,Through mobile phone: different network,Household use (food/clothing)
8631,Parent,Urban community, , ,Shinyanga,When you can,Through mobile phone: different network,Household use (food/clothing)
8633,Other family member,Urban community, , ,Shinyanga,Several times a year,Through mobile phone: different network,Household use (food/clothing)
8640,Parent,Urban community, , ,Shinyanga,Several times a year,Through mobile phone: different network,Household use (food/clothing)
4505,Other family member,Rural village, , ,Shinyanga,Seasonally,Through mobile phone: different network,Household use (food/clothing)
5345,Child,Urban community, , ,Shinyanga,Several times a year,Through mobile phone: different network,Household use (food/clothing)
8653,Spouse,Urban community, , ,Shinyanga,Several times a year,Through mobile phone: different network,Household use (food/clothing)
3262,Other family member,Urban community, , ,Shinyanga,When you can,Through mobile phone: different network,Household use (food/clothing)
7419,Parent,Rural village, , ,Shinyanga,Monthly,Through mobile phone using the same network,Household use (food/clothing)
9370,Parent,Urban community, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone using the same network,Household use (food/clothing)
5634,Parent,Rural village, , ,Shinyanga,When you can,Through mobile phone using the same network,Household use (food/clothing)
3817,Friend,Rural village, , ,Shinyanga,Only once off/Once a year,Through mobile phone using the same network,Household use (food/clothing)
